"09364: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"TJENESTEYTENDE NÆRINGER";"2019K2";42.0;.;100.0
"TJENESTEYTENDE NÆRINGER";"2019K3";37.9;.;100.0
"TJENESTEYTENDE NÆRINGER";"2019K4";43.1;.;100.0
"TJENESTEYTENDE NÆRINGER";"2020K1";24.6;.;100.0
"TJENESTEYTENDE NÆRINGER";"2020K2";11.9;.;100.0
"TJENESTEYTENDE NÆRINGER";"2020K3";10.3;.;100.0
"TJENESTEYTENDE NÆRINGER";"2020K4";18.3;.;100.0
"TJENESTEYTENDE NÆRINGER";"2021K1";49.1;.;100.0
"TJENESTEYTENDE NÆRINGER";"2021K2";45.8;.;100.0
"TJENESTEYTENDE NÆRINGER";"2021K3";72.3;.;100.0
"TJENESTEYTENDE NÆRINGER";"2021K4";105.9;.;100.0
"TJENESTEYTENDE NÆRINGER";"2022K1";113.0;.;100.0
